TICKER,CURRENT ASSETS,TOTAL ASSETS,EBIT,CURRENT LIABIL,TOTAL LIABILITIES,RETAINED EARNINGS,TOTAL SALES,CREDIT_RATING
ARXX,328.354,638.022,47.473,119.215,150.352,95.273,551.846,7
ABT,11281.883,36178.172,4860.219,11951.195,22123.986,9958.494,22476.322,19
AMD,3963,13147,401,2852,7072,464,5649,7
APD,2612.6,11180.7,1013.5,2323.4,6078.7,5521.8,8850.4,16
HON,12304,30941,3544,10135,21221,11256,31367,16
HES,5848,22404,3618,6739,14293,6107,28067,12
WYE,17514.241,36478.715,5370.348,7221.848,21825.96,8062.033,20350.655,16
APFC,77.343,239.455,6.659,43.922,167.571,1.209,141.904,7
AME,684.063,2130.876,308.994,480.9,1164.204,868.827,1819.29,13
AMGN,11712,33788,5059,7022,14824,-5191,14268,17
ANDW,1153.021,2408.921,86.173,567.886,901.646,874.041,2146.093,10
KTO,844.218,1235.454,85.424,283.542,695.817,-32.602,1394.656,10
AMAT,6081.019,9480.837,2246.734,2436.045,2829.437,9453.293,9167.014,15
ADM,11826.277,21269.03,1793.131,6164.767,11462.15,4295.861,36596.111,16
AVY,1655.4,4293.6,517.3,1698.8,2613.1,2089.8,5575.9,15
AVP,3334.4,5238.2,1011.2,2550.1,4410.8,2740.5,8763.9,16
BHI,4967.8,8705.7,1983,1621.9,3462.8,3322.4,9027.4,16
BEZ,304.147,523.982,81.059,91.56,219.153,402.454,811.28,9
BLL,1761.3,5840.9,476,1454.3,4674.5,1505.8,6621.5,11
BCR,1133.9,2277.2,475.3,295.9,579.2,1012.5,1985.5,16
BAX,6970,14686,1935,3610,8414,1845,10378,16
BDX,3185.253,6824.525,1150.183,1576.329,2988.321,5316.889,5840.179,17
BLC,384.163,3614.278,292.493,258.912,2087.13,469.812,1588.272,12
BMS,1093.712,3039.009,348.18,555.455,1537.808,1460.845,3639.363,16
BIO,1129.777,1596.168,142.111,319.533,776.63,741.305,1262.23,11
BDK,2703.4,5247.7,740.4,1779.6,4084.1,1130.2,6447.3,13
VAL,987.2,4334.4,1017.2,384.9,1118.4,1989,1813.5,13
BA,22983,51794,4018,29701,47055,10236,61530,17
REXMY,2060.447,8271.168,746.226,1962.517,5824.877,227.198,7321.247,13
BMY,10302,25575,2680,6496,15584,18200,17914,17
BP,75339,217601,27659,75352,132136,92483,265906,20
