gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,ceq,csho,ni,costat,prcc_c
001056,20060630,2006,INDL,C,D,STD,ARXX,USD,487.6700,75.2700,26.9590,I,11.7200
001078,20061231,2006,INDL,C,D,STD,ABT,USD,14054.1860,1537.2430,1716.7550,A,48.7100
001161,20061231,2006,INDL,C,D,STD,AMD,USD,5785.0000,547.0000,-166.0000,A,20.3500
001209,20060930,2006,INDL,C,D,STD,APD,USD,4924.0000,217.2510,723.4000,A,70.2800
001300,20061231,2006,INDL,C,D,STD,HON,USD,9720.0000,800.5920,2083.0000,A,45.2400
001380,20061231,2006,INDL,C,D,STD,HES,USD,8111.0000,315.0180,1916.0000,A,49.5700
001478,20061231,2006,INDL,C,D,STD,WYE,USD,14652.7270,1345.2500,4196.7060,I,50.9200
001533,20060930,2006,INDL,C,D,STD,APFC,USD,71.8840,7.3240,-3.8940,I,7.9900
001598,20061231,2006,INDL,C,D,STD,AME,USD,966.6720,106.0590,181.9340,A,31.8400
001602,20061231,2006,INDL,C,D,STD,AMGN,USD,18964.0000,1166.0000,2950.0000,A,68.3100
001651,20060930,2006,INDL,C,D,STD,ANDW,USD,1507.2750,157.2610,-34.2900,I,10.2300
001677,20061231,2006,INDL,C,D,STD,KTO,USD,539.6370,49.4140,37.6880,I,13.1900
001704,20061031,2006,INDL,C,D,STD,AMAT,USD,6651.4000,1391.7300,1516.6630,A,18.4500
001722,20060630,2006,INDL,C,D,STD,ADM,USD,9806.8800,655.6850,1312.0700,A,31.9600
001913,20061231,2006,INDL,C,D,STD,AVY,USD,1680.5000,98.3130,367.2000,A,67.9300
001920,20061231,2006,INDL,C,D,STD,AVP,USD,790.4000,441.3900,477.6000,I,33.0400
001976,20061231,2006,INDL,C,D,STD,BHI,USD,5242.9000,319.9000,2419.0000,I,74.6600
001981,20061231,2006,INDL,C,D,STD,BEZ,USD,304.8290,32.3780,48.1180,I,33.4200
001988,20061231,2006,INDL,C,D,STD,BLL,USD,1165.4000,104.1370,329.6000,A,43.6000
002044,20061231,2006,INDL,C,D,STD,BCR,USD,1698.0000,103.1550,272.1000,I,82.9700
002086,20061231,2006,INDL,C,D,STD,BAX,USD,6272.0000,650.4790,1397.0000,A,46.3900
002111,20060930,2006,INDL,C,D,STD,BDX,USD,3836.2040,245.4680,752.2800,A,70.1500
002150,20061231,2006,INDL,C,D,STD,BLC,USD,1527.1480,102.2960,130.5260,I,18.3700
002154,20061231,2006,INDL,C,D,STD,BMS,USD,1472.0160,104.8410,176.2960,I,33.9800
002220,20061231,2006,INDL,C,D,STD,BIO,USD,819.5380,26.5040,103.2630,A,82.5200
002255,20061231,2006,INDL,C,D,STD,BDK,USD,1163.6000,66.7350,486.1000,I,79.9700
002270,20061231,2006,INDL,C,D,STD,VAL,USD,3216.0000,151.8000,769.7000,A,50.0600
002285,20061231,2006,INDL,C,D,STD,BA,USD,4739.0000,757.8360,2215.0000,A,88.8400
002338,20061231,2006,INDL,C,D,STD,REXMY,USD,2446.2910,116.6250,436.7680,I,52.0500
002403,20061231,2006,INDL,C,D,STD,BMY,USD,9991.0000,1967.0000,1585.0000,A,26.3200
002410,20061231,2006,INDL,C,D,STD,BP,USD,85444.0000,3251.7500,22315.0000,A,67.1000
002444,20061231,2006,INDL,C,D,STD,BC,USD,1871.8000,90.8670,133.9000,A,31.9000
002593,20060930,2006,INDL,C,D,STD,CBT,USD,1178.0000,63.4330,88.0000,A,43.5700
002663,20060731,2006,INDL,C,D,STD,CPB,USD,1768.0000,402.0000,766.0000,A,38.8900
002710,20060228,2005,INDL,C,D,STD,STZ,USD,2975.1690,223.0350,325.2620,A,26.2300
002721,20061231,2006,INDL,C,D,STD,CAJ,USD,25097.5290,1331.6510,3826.2610,A,56.5900
002787,20060630,2006,INDL,C,D,STD,CRS,USD,928.3000,25.5140,211.8000,A,102.5200
002817,20061231,2006,INDL,C,D,STD,CAT,USD,6859.0000,645.8080,3537.0000,A,61.3300
002950,20061130,2006,INDL,C,D,STD,CHTT,USD,135.5810,18.6690,45.1120,I,50.0800
002991,20061231,2006,INDL,C,D,STD,CVX,USD,68935.0000,2164.5580,17138.0000,A,73.5300
003026,20061231,2006,INDL,C,D,STD,CHD,USD,863.8370,65.3610,138.9270,A,42.6500
