gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,ceq,csho,ebit,ni,sale,costat,prcc_c
001004,20210531,2020,INDL,C,D,STD,AIR,USD,974.4000,35.3750,65.5000,35.8000,1651.4000,A,36.2200
001045,20211231,2021,INDL,C,D,STD,AAL,USD,-7340.0000,647.7280,-5514.0000,-1993.0000,29882.0000,A,17.9600
001075,20211231,2021,INDL,C,D,STD,PNW,USD,5906.2000,112.9270,805.3100,618.7200,3803.8350,A,70.5900
001078,20211231,2021,INDL,C,D,STD,ABT,USD,35802.0000,1764.0820,8966.0000,7071.0000,43075.0000,A,140.7400
001161,20211231,2021,INDL,C,D,STD,AMD,USD,7497.0000,1207.0000,3678.0000,3162.0000,16434.0000,A,143.9000
001209,20210930,2021,INDL,C,D,STD,APD,USD,13539.7000,221.3970,2215.0000,2099.1000,10323.0000,A,304.2600
001230,20211231,2021,INDL,C,D,STD,ALK,USD,3801.0000,125.9060,-240.0000,478.0000,6176.0000,A,52.1000
001234,20211231,2021,INDL,C,D,STD,ATRI,USD,244.2960,1.8010,36.0420,33.0550,165.0090,A,704.9000
001254,20211231,2021,INDL,C,D,STD,MATX,USD,1667.4000,41.0000,1131.2000,927.4000,3925.3000,A,90.0300
001257,20211231,2021,INDL,C,D,STD,ALX,USD,252.5890,5.1070,76.1970,132.9300,206.1480,A,260.3000
001300,20211231,2021,INDL,C,D,STD,HON,USD,18569.0000,684.8000,6769.0000,5542.0000,34392.0000,A,208.5100
001327,20210930,2021,INDL,C,D,STD,SWKS,USD,5297.1000,165.3000,1692.7000,1498.3000,5109.1000,A,155.1400
001380,20211231,2021,INDL,C,D,STD,HES,USD,6300.0000,309.7450,2008.0000,559.0000,7473.0000,A,74.0300
001410,20211031,2021,INDL,C,D,STD,ABM,USD,1609.2000,67.3020,406.4000,126.3000,6228.6000,A,40.8500
001414,20211231,2021,INDL,C,D,STD,PRI,USD,2082.5120,39.3680,639.6640,373.3570,2709.7320,A,153.2700
001439,20211231,2021,INDL,C,D,STD,ECOL,USD,624.3240,31.2700,36.9020,5.3370,988.0010,A,31.9400
001440,20211231,2021,INDL,C,D,STD,AEP,USD,22433.2000,504.2120,3372.3000,2488.1000,16792.0000,A,88.9700
001447,20211231,2021,INDL,C,D,STD,AXP,USD,22177.0000,761.0000,10121.0000,8060.0000,43663.0000,A,163.6000
001449,20211231,2021,INDL,C,D,STD,AFL,USD,33253.0000,652.1320,4565.0000,4325.0000,21037.0000,A,58.3900
001487,20211231,2021,INDL,C,D,STD,AIG,USD,65471.0000,818.6870,11322.0000,9388.0000,52046.0000,A,56.8600
001526,20211231,2021,INDL,C,D,STD,ANAT,USD,6994.3680,26.8870,695.8160,699.3250,4203.1140,A,188.8400
001562,20210430,2020,INDL,C,D,STD,AMSWA,USD,122.3910,32.8630,4.3610,8.0890,111.4080,A,17.1700
001585,20211231,2021,INDL,C,D,STD,AVD,USD,372.7380,30.8870,33.6840,18.5870,556.8720,A,16.3900
001598,20211231,2021,INDL,C,D,STD,AME,USD,6871.8840,231.6620,1308.6700,990.0530,5546.5140,A,147.0400
001602,20211231,2021,INDL,C,D,STD,AMGN,USD,6700.0000,558.3000,9274.0000,5893.0000,25979.0000,A,224.9700
001632,20211031,2021,INDL,C,D,STD,ADI,USD,37992.5420,525.3310,1889.5160,1390.4220,7318.2860,A,175.7700
